,hour,power,Day,School_name,Lat,Lon
319,8,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
320,9,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
321,10,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
322,11,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
323,12,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
324,13,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
325,14,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
326,15,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
327,16,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
328,17,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
329,18,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
330,19,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
331,20,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
332,21,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
333,22,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
334,23,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
335,24,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
336,1,0,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
337,2,0,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
338,3,0,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
339,4,0,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
340,5,0,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
341,6,0,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
342,7,0,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
343,8,0,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
344,9,0,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
345,10,0,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
346,11,0,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
347,12,0,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
348,13,0,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
349,14,0,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
350,15,28.48,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
351,16,209.98,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
352,17,252,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
353,18,252,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
354,19,252,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
355,20,228.32,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
356,21,201.44,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
357,22,194.4,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
358,23,194.4,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
359,24,182.24,Mon,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
360,1,163.04,Tue,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
361,2,148.64,Tue,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
362,3,136.8,Tue,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
363,4,103.2,Tue,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
364,5,40.5,Tue,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
365,6,29,Tue,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
366,7,0,Tue,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
367,8,0,Tue,BAILEY BRIDGE MIDDLE,37.4081273,-77.61696969
